,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Mxi1,Mxd4,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxa4,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
97,Got1l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5022834562688,0.0,0.0,0.0,0.0,127.50997663497206,1098.5883817259974,-239.79521902942946,0.0
98,Ppp2r2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.867167396610991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-632.4215196503236,17.158805907878424,0.0
99,Dynll1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-397.52099683140705,0.0,0.0
100,Ccdc57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.234246272902677,0.0
101,Tex21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.0724139077616,0.0,-185.17504360827505
102,Serp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.495555530126207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161.39881569863053,132.82006553535012,0.0
103,Fscn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10650256585934388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0213540362305187,-2.958335995441922,0.0
104,Celf5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Slc30a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.08338281628348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Mad2l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.43445322646215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.4144400939764,0.0
107,Stat4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Zfp42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Atp8b3,0.0,-73.64760602224935,0.0,-48.20680282015626,-60.22969983504957,0.0,0.0,0.0,-38.15440642506519,-66.09080881703159,0.0,-5.399954620463273,-3.505829703687736,-0.5630949906881457,-15.512750455659026,-2.301508465235917,-10.149602176220956,-26.035637982996402,-58.12199181596812,-42.69446877536788
110,1700069L16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Spdef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.342939430768498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.16780624989483,0.0,0.0
112,Atp6ap1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.13462153883857,0.0,0.0,0.0,0.0,0.0
113,Erich2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.78425083817457,0.0,0.0,45.4623449045217,0.0,-15.799232691334998,0.0,0.0,-12.011436552660863,-179.78009485318276,-248.9835846716738,0.0
114,Tuba3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.689652877297033,0.0,0.0,-385.5726196259169,0.0,-7.829814997169415,0.0,0.0,0.0,1530.495662096504,-46.25503824188265,-88.24776694208984
115,Riiad1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-518.496643666086,0.0,0.0,0.0,0.0,-131.62615405858102,-621.2267406090365,0.0,0.0,0.0,-166.4269782660708,0.0
116,Nol4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.024191721974965,0.0,0.0,0.0,0.0,0.0,30.15839091564035,0.0,0.0,453.2055214709916,-58.99653165706578,-75.01954896202203
117,Tmod2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.860357610149521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04879672643555748,0.0
118,Tal2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Rpl39l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-685.4084835181394,0.0,333.9753979664727,191.81357124661398,0.0,0.0,5219.262578083414,0.0,0.0
