,Gene,Nr2c1,Zbtb3,Nanog,Pbx4,Npas2,Atf1,Smc3,Creb3,Mxi1,Mybl1,Tbp,Mxd4,Alx1,Crem,Rfx5,Mesp1,Zfp42,Hoxd8,Hoxa4,Fev,Rfx2,Creb3l4,Rfx4
454,Klhl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.71024569361336,0.0,0.0,101.27207625444109,0.0,0.0,0.0
455,Sin3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Gfra4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139.74086124671976,0.0,0.0,-54.670521229254874,0.0,0.0,0.0
457,Foxa3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Gsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,Esrp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.905079063600921,0.0,0.0,-3.4696087870515653,0.0,0.0,0.0
460,Eqtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.00045924140716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,Arrdc5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36649064416438115,0.0,0.0,0.0,347.9162812047945,0.0,1456.4894604105505,212.31398792718375,0.0,0.0,-88.82572809433849
462,1700016K19Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,Fam181a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.24607396773396,-51.55079228128611,14.77884910681303,-65.00864983811861,-14.385133987858095,0.0,0.0,2.711443889226404
464,Crisp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.95898263229955,0.0,0.0,0.0
465,Lcp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Gstt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.3114541179402,1014.9447364258768,-188.67165174874935,3552.273317648595,508.6201234121529,-140.9460671899584,0.0,-403.66880693184595
467,Klk1b27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.538389505227986,0.0,0.0,0.0,0.0,-1.1617802793821104,0.0
468,Pih1d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.533508221810017,0.0,0.0,-2.551136022431817,0.0,0.0,11.45259019843813
469,Dnah7a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.171855371227562,0.0,0.0,-0.16523045953745205
470,Zfp428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.846506685535,0.0,0.0,24.213977964736603,0.0,0.0,0.0
471,Dnmt3l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05709779170732473,0.0,0.0,0.0,0.0,0.0,0.0
472,Figla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
